x,cp
0.005180729,1.032602812
0.01221019,0.90623079
0.016251709,0.772121316
0.024282756,0.634269269
0.034301687,0.51180038
0.049311734,0.374108893
0.074297895,0.221309495
0.108244822,0.099391096
0.090277417,0.152658717
0.060309315,0.297674788
0.040311211,0.442920231
0.028292164,0.580680529
0.019267175,0.710840997
0.01523483,0.821944547
0.01322401,0.8640762
0.008202311,0.95598521
0.122215052,0.069037651
0.141171811,0.03496457
0.164116569,0.000983238
0.188058328,-0.032975158
0.210001499,-0.055476465
0.23393714,-0.074097578
0.255877253,-0.088930244
0.279812894,-0.107551356
0.302748478,-0.118526765
0.322691533,-0.125736664
0.344627058,-0.129066368
0.365565583,-0.132419009
0.386504109,-0.13577165
0.410435163,-0.142889801
0.429379689,-0.146288316
0.461283683,-0.145554329
0.489201207,-0.14874641
0.511136733,-0.152076115
0.541048257,-0.155222322
0.563979253,-0.154694768
0.587908778,-0.157978598
0.611836773,-0.157428107
0.634770828,-0.164569195
0.658698823,-0.164018704
0.687611818,-0.163353528
0.716524813,-0.162688352
0.740452809,-0.162137861
0.761388276,-0.157821861
0.782326802,-0.161174502
0.806254798,-0.160624012
0.826197852,-0.167833911
0.846137849,-0.167375169
0.866076316,-0.163082106
0.893992311,-0.162439867
0.913933837,-0.165815445
0.933873834,-0.165356703
0.953815359,-0.168732281
0.970762827,-0.16450803
0.985717825,-0.164163973
0.036850765,-0.880012141
0.026876179,-0.868738551
0.048810176,-0.868233934
0.056780058,-0.852713155
0.06275594,-0.837238249
0.070725822,-0.82171747
0.077698704,-0.806219627
0.084671586,-0.790721785
0.091645998,-0.779058263
0.098617351,-0.7597261
0.021882005,-0.845847312
0.017878715,-0.807595854
0.014863249,-0.746315535
0.012844783,-0.685012279
0.010826317,-0.623709023
0.008801735,-0.547068484
0.006778681,-0.474262266
0.006749628,-0.401410174
0.004717399,-0.305598032
0.0046807,-0.213574336
0.003647001,-0.121573578
0.002617889,-0.041075781
0.002590365,0.027941991
0.002558253,0.108462724
0.002523082,0.196652099
0.003492558,0.265692808
0.003458917,0.350047862
0.002428276,0.434379979
0.002733084,0.503405397
0.002364052,0.595421447
0.001996548,0.683603176
0.002281478,0.802474762
0.002247837,0.886829816
0.116549585,-0.724804346
0.130496879,-0.697642982
0.144445702,-0.674315939
0.158394524,-0.650988895
0.176328288,-0.619901462
0.197251522,-0.584910897
0.216183815,-0.557634847
0.242093577,-0.526363917
0.258037929,-0.50682532
0.228140167,-0.538187999
0.18330117,-0.60440362
0.166364406,-0.635468116
0.27398228,-0.487286723
0.294910102,-0.46379912
0.310855982,-0.448094843
0.326801863,-0.432390567
0.343743214,-0.412829033
0.363678624,-0.400867329
0.383609445,-0.377402663
0.408528324,-0.361491952
0.427465204,-0.345718864
0.452382554,-0.325973833
0.486272903,-0.306022368
0.513187311,-0.293900104
0.549073697,-0.279015193
0.572999654,-0.273352274
0.603897474,-0.2496353
0.634798352,-0.233586967
0.664708347,-0.232898853
0.703585224,-0.216667023
0.730504219,-0.216047721
0.756420098,-0.200114074
0.776360094,-0.199655332
0.796300091,-0.199196589
0.814243029,-0.19111508
0.52714225,-0.285910343
0.499232371,-0.301889865
0.465342023,-0.32184133
0.439426144,-0.337774978
0.395571914,-0.373293097
0.679658757,-0.221051835
0.617853943,-0.24547986
0.586954594,-0.265362513
0.718537163,-0.208654325
